username	name	status	ya/tidak
briankurniawan	hcb_shop	READY Jaket IDR 135000 (Harga belum diskon) Size: xxlâ€¦ https://t.co/po1ozb6eOV	ya
StarGlamMagz	Star Glam Magazine	"Mari merapat ke counter wacoal terdekat. Diskon gede - gedean di akhirâ€¦ (w/ Sintra ï£¿, Hernand, & 7 others) [pic] â€” https://t.co/44C70gGPdv"	tidak
AhmadFatihID	Ahmad Fatih	Khusus pembelian hari ini DISKON 50.000 Jaket Couple Hanya 120.000 buruan order sekarang Stok terbatas. #BigSale Cek Branda Yah :)	ya
metamongi	HOON	"@nariuous yalord, diskon dong?"	tidak
briankurniawan	hcb_shop	READY kaos IDR 45000 (Harga belum diskon Size: L *reseller *grosirâ€¦ https://t.co/PKi10fK0je	ya
rikirikian	Rikian	"@TSWDT kapan katanya kamu mau ke uniqlo???? Ah tapi skrg can diskon semua euy. Siap2 ntr desember, bungg"	tidak
CakMisbah_	Cak Misbah	Ingin jadi hypnotherapist handal? ikut workshopnya| 26-27 Nov 2016 |Diskon special ulangtahun STEP| CP 083114683618 â€¦	ya
dian_mucill10	Dian	RT @BNIPromo: Wara-wiri tahun baru dengan promo diskon liburan akhir tahun di https://t.co/ibiiU07OSg. Info : https://t.co/q3Qjt09Piz httpsâ€¦	ya
haikarasushi	haikara sushi	"Tunjukkan BXC Privilege Card, dapatkan diskon 10% utk semua menu makanan. Promo berlaku di Haikara Sushi cbg Bintarâ€¦ https://t.co/gzUSATPslq"	ya
katalogpromosi	katalogpromosi	Global Apple Premium Reseller Special Deal untuk Produk Apple WATCH! Dapatkan Harga Special + Free Apple Band https://t.co/4nV3ObKx1q	ya
dian_mucill10	Dian	RT @BNIPromo: Diskon tambahan 10% di https://t.co/pRduxG1CTx dengan Kartu Kredit BNI. Info : https://t.co/sGeLoh7fny https://t.co/wTdmVJ8Wly	ya
sunqkyng	[H]bib.	"Iya, ka minyaknya nggak sekalian lagi diskon? https://t.co/5LtYYAX4ZY"	tidak
CitilinkTicket	Citilink Agent	"Travel Fair On-line Dimulai, Diskon Hingga 70 Persen - Tempo (Siaran Pers) (Pendaftaran) https://t.co/tOXS0jCTRS #travel"	ya
AhmadFatihID	Ahmad Fatih	Khusus pembelian hari ini DISKON 50.000 Jaket Couple Hanya 120.000 buruan order sekarang Stok terbatas. #BigSale	ya
RaM_Yu	Ramadhanniel Yuanda	Makan siang diskon 50% di kalasansunplaza ( Selected Item ) ðŸ˜†ðŸ˜†ðŸ˜† Murah Meriah Kalap... Makanâ€¦ https://t.co/BduCy7BleB	ya
X_SKAsuka	Tyan X	"Berbagai marchendise tipe-x ada di sini, #invit 7A2C0EE6, beli #murah #diskon"	tidak
GilaPromoDotCom	GilaPromo	#diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/0kydK9HwIH	ya
GilaPromoDotCom	GilaPromo	#diskon Vinoti Living Early Holiday Shopping Promo - Diskon 50% https://t.co/1dkueFYf7e	ya
IiHolillah	Pashmina Instan	DISKON HEMAT 20% Beli sekarang berbagai produk pashmina instan syar'i hijabela_syari Produkâ€¦ https://t.co/H5mUSaxkqD	ya
fujico987	fujiko	Santika Premiere #Malang diskon 70% di pegipegi https://t.co/tQjBMkBgVR #Hotel #Penginapan #HotelMurah #Liburan https://t.co/qOIowfZGQT	ya
Yogya_gokart	Yogya Go Kart	"Daftarkan diri Anda sebagai VIP Member Yogya Gokart,dapatkan diskon 25% untuk pembelian tiket gokart serta ikuti member race setiap bulannya"	ya
ArisKansaz	Ariez kansaz	@BangJamet ya klo mau diskon banyak di pasar senen met wwkwkqkqkq	tidak
grapesinoct	Rachma Amelia	"Diskon, Diskon (love) . Gamis Shaffiya Diskon 15% sd tanggal 5 Desember 2016. yuk order diâ€¦ https://t.co/pE2roGV5KZ"	ya
bubblenmebdg	@Bubble N Me Bdg	PROMO DISKON 10% UNTUK PEMBELIAN PRODUK OIL Belly to Baby MULAI 22 -30 NOV (SELAMA PERSEDIAN STOCK MASIH ADA).... https://t.co/Tsf1VbP6Nt	ya
katalogpromosi	katalogpromosi	"HARI INI! https://t.co/6TZCaLD6ic MONDAY MOM'S DAY, Diskon hingga 70% untuk Kebutuhan Ibu dan si Kecil https://t.co/eGwOu1TN4T"	ya
TitoKilby	tito kilby	"RT @JejakImani: Sahabat Jejak Imani, Ayo jng sampai ketinggalan dapetin voucher diskon umroh lho cek disini >> https://t.co/VxbYPXP8r2 #vouâ€¦"	tidak
iniKartuKredit	Promo Kartu Kredit	"RT @KartuKreditBCA: LAST DAY! Dapatkan tambahan diskon 10% dgn @KartuKreditBCA di pameran Watch World Indonesia, Main Atrium Pondok Indah Mâ€¦"	ya
IndonesiaFlight	Indonesia Flight	Diskon tiket pesawat Air Asia hingga 100 ribu. Nikmati liburan semakin hemat dgn Indonesia Flightâ€¦ https://t.co/ftzwY7qWss	ya
bliblidotcom	Blibli.com	Masih banyak promo lainnya seperti perlengkapan baju renang dan diskon hingga 1 jt utk pilihan gadget dan semua kategor kamera! #FJJ2016	ya
hallo_sumsel	hallosumsel.com	"Hallo, Para Guru Bangsa, Ada Diskon 50 Persen Paket Servis Lengkap di AHASS, Buruan Datang https://t.co/ZdrLazPIbd https://t.co/7H17u34JBY"	ya
Penerbit_BIP	Penerbit BIP	RT @SCOOPToday: Diskon 50% utk Ebook Dongeng Anak Favorit terbitan @Penerbit_BIP. Yuk Ayah Bunda borong di sini: https://t.co/hcNoa22Iyq #Gâ€¦	ya
bliblidotcom	Blibli.com	"Sedangkan utk Destination Deals - Jakarta. Diskon 10% untuk semua tiket atraksi Jakarta (Waterbom, etc.) #FJJ2016"	ya
misteraladinID	Mister Aladin	"Dapetin diskon buat SEMUA hotel s.d Rp200rb dengan kartu @BNI kamu! Yuk, wujudkan liburan impianmu sekarang! CEK:â€¦ https://t.co/e74jlZzMU6"	ya
alan_nusapati	Alan Nusapati	RT @AdaDiskon: Best seller buku - buku Art Therapy Coloring Books diskon 20% https://t.co/COGDPGUSeE	ya
sandipolibag	sandi irawan	Tunjukin KTP Bandung km ke TransStudioBdng dan dapetin diskon 50%. Ayo seseruan bareng keluarga! #adv jejeradiosby	ya
facchan_	Zulfa Salsabila	"Aku jual sepatu, ini album diskon sampe November. Silahkan dilirik ya barangkali minat <3 https://t.co/7fshXNYZmL #jualsepatu"	ya
bliblidotcom	Blibli.com	Utk promo Destination Deals â€“ Bali. Diskon 20% utk Min. Pembelanjaan 2 Juta utk semua tiket atraksi & tour Bali. #FJJ2016	ya
Negara_Koe	Mention Dua	"Travel Fair On-line Dimulai, Diskon Hingga 70 Persen https://t.co/TfojZyujny"	ya
GilaPromoDotCom	GilaPromo	#diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/bt1tKaKnhK	ya
IklanBalikpapan	IG-Iklan_Balikpapan	"Paket DISKON NATAL sudah mulai, segera kunjungi MEBEL JAWA (belakang AUTO2000) 0542-731222 BB: 51DC4DF5/08125547190 https://t.co/eUFMls6IMG"	ya
katalogpromosi	katalogpromosi	https://t.co/zJBAS2OcKL Gaming Corner! Diskon hingga 22 juta* berlaku hanya tanggal 22-23 November 2016 https://t.co/7zrPLQdvjP	ya
jejeradiosby	Jeje Radio Surabaya	Tunjukin KTP Bandung km ke @TransStudioBdng dan dapetin diskon 50%. Ayo seseruan bareng keluarga! #adv	ya
Giladiskon	Giladiskon Indonesia	"Clearance Boom SALE Diskon hingga 75%,Info-->https://t.co/FDS8xa4MUI"	ya
DINOMARKET	DINOMARKET.com	"Jangan lewatkan ! Year End Promotion Diskon Hingga Rp4,8 Juta. Klik https://t.co/hxYBW4l7ZK #Dinomarket https://t.co/3p8JzKqSRD"	ya
maddoginfected	Maddog Infectedâ„¢	Dapatkan kupon diskon 20% #MADDOGINFECTED di @IcoBarbershop | Jl.Wirengan Baluwarti ( Samping Gedung Pertemuan ) https://t.co/L2OHdqFUrS	ya
tiket	Tiket.com	Nikmati Diskon Rp. 300.000 utk wujudkan semua bucket list destinasi luar negeri Sobat Tiket! Pesanâ€¦ https://t.co/GXYuc0pOHZ	ya
SCOOPToday	SCOOP Newsstand	Diskon 50% utk Ebook Dongeng Anak Favorit terbitan @Penerbit_BIP. Yuk Ayah Bunda borong di sini:â€¦ https://t.co/NWva1ovyoo	ya
detik_topi	TRUSTED SELLER	#topi #fox #import #snapback #baseball #topimurah #murmer #diskon #keren #swag #jual #bboy #selfie #ootd #styleâ€¦ https://t.co/omzOFmK7x5	tidak
BamzNu	Bambang S	RT @RiantyBatik: Dapatkan diskon tambahan bagi member offline dengan daftar dan verifikasi di https://t.co/eBDD4s5z0C https://t.co/wR6hkZb3â€¦	ya
SopDurenLodaya	Sop Durian Lodaya	Kawula muda Pulau Dewata... Serbuuu !!!! #DISKON 30% spesial Pelajar dan Mahasiswa di #CabangDenpasar https://t.co/pYyS0P0ASd	ya
putriidewiips	Putri Dewi	"RT @JelajahPulauID: Terbatas u/ 12 peserta saja lho! Jgn lupa, 4 peserta pendaftar pertama hari ini, 21 Nov 2016 akan ada DISKON 25% . Yukâ€¦"	ya
RumahGrosirBDG	Rumah Grosir Bandung	Koleksi Baju Muslim anak AINI terbaru diskon 10% cek koleksi lengkap di https://t.co/UDslcVs2Fm size: 2-12 tahun https://t.co/5XippJa509	ya
putriidewiips	Putri Dewi	RT @JelajahPulauID: *Kids Cooking Class for Charity* tinggal enam hari lagi! Ada *diskon* pendaftaran sebesar 25% khusus bagi 4 pendaftar pâ€¦	ya
kalaweit991FM	Kalaweit Radio	Khusus pengguna Honda Club Card dapatkan diskon 20% setiap pembelian di The Ego Coffee Palangkaraya (tanpa minimum pembelian)	ya
Anggraini_Bae	yeni yuliawati	"RT @atmprima: Cek terus @bliblidotcom setiap hari, ada promo Daily Deals diskon sampai 70%! Gampang bayar di ATM BCA #tipsPRIMA"	ya
Anggraini_Bae	yeni yuliawati	RT @atmprima: Tampil cantik dengan kartu Debit/Kredit OCBC NISP. Dapatkan diskon 30% di seluruh outlet Natasha https://t.co/MPFnl8bFvw #OCBâ€¦	ya
Anggraini_Bae	yeni yuliawati	RT @atmprima: Nikmati voucher diskon HEPI dari @eleveniaID setiap hari! Praktis lagi belanjanya di ATM BCA #tipsPRIMA	ya
katalogpromosi	katalogpromosi	SUPERINDO Promo Super Diskon Senin sampai Kamis! Dapatkan diskon 20% untuk Aneka Ikan Segar. Info lengkap di https://t.co/ZctEXDACTr	ya
ComPhibi	Berita Terkini	Diskon Rp75.000 Pembelian Pertama di kim.Â Fashion https://t.co/pDWtW5wwSA	ya
dayornight53	DAYorNIGHTboutique	"DISKON MINTA AMPUN ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜± . Ocean Blue now ONLY 120.000 for size M, L, XL 130.000 for sizeâ€¦ https://t.co/jZtZBS39I0"	ya
restongalam	Resto Ngalam	"Semua menu baru diskon 10% di Resto Ngalam cbg Lottemart Bintaro, fX Sudirman & Pondok Indah. Berlaku setiap hari https://t.co/TpWTB9Eu7l"	ya
AdaDiskon	AdaDiskon.com	Shocking promo! Semua items Polo Ralph Lauren diskon! https://t.co/FVDNWRquaO	ya
grapesinoct	Rachma Amelia	"Diskon, Diskon (love) Gamis Ayumi Diskon 10% sd tanggal 5 Desember 2016. yuk order di Grapesâ€¦ https://t.co/tEs8L6Comx"	ya
asbdoang	ariareo	"Tukar diskon Wahanarupa: Tukar Poin Telkomsel, Diskon Alfamart dan Toko Onl... https://t.co/1d4SfTHwgH"	ya
TaufanPR	Taufan Prakoso	Buku 30 Hari Jago Jualan Promo Diskon https://t.co/DgfeXVfkxI	ya
TrolleyAdvisor	Trolley Advisor	RT @Indomaret: Dapatkan iKupon diskon tiap beli token PLN atau bayar iuran BPJS kesehatan di Indomaret periode November 2016. https://t.co/â€¦	ya
NurbaidiCullen	Nurbaidi Y Wibowo	"RT @dewahoya: Tiket coldplay uda sold semua, tinggal diskon ramayana yang abis-abis."	ya
honeybeib17	MakeMeSlumberParty	"RT @pegi_pegi: Traveler Asoka Remadja bagi-bagi diskon hotel, tiket pesawat & kereta api total ratusan ribu rupiah! Cek infonya di https://â€¦"	ya
GilaPromoDotCom	GilaPromo	#diskon Air Asia Promo Santap Hemat - Beli Menu Santan Combo Meal Cuma Rp. 33.900 https://t.co/m5B3BYPFMm	ya
GilaPromoDotCom	GilaPromo	#diskon Erafone Apple iPhone 5S November Deals - Harga Spesial Mulai Rp. 3.999.000 https://t.co/uhQXbtAEj4	ya
misteraladinID	Mister Aladin	"#FestivalJalanJalan has officially begun! Ayo, buruan cek https://t.co/g2FM2UTWcv buat dapetin diskon BESAR-BESARANâ€¦ https://t.co/lYo8nUPz5p"	tidak
jayne_pasini	Jayne Pasini	Diskon 10 %	tidak
RyanDarsudi	Ryan Ferdian	Maafkan mata dan hatiku yang tak pernah bisa menolak (beli) pakaian kalau ada diskon.	tidak
dayornight53	DAYorNIGHTboutique	"DISKON MINTA AMPUN ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜±ðŸ˜± . Mysterious Black now ONLY 120.000 for size M, L, XL khusus utkâ€¦ https://t.co/7ZuKhuurMW"	tidak
midorirest	Midori Restaurant	"Macam2 menu sushi pilihan, diskon 20% di Midori cbg Puri Kencana. Diskon berlaku setiap hari https://t.co/1OYrCRPv1X"	ya
GATRA_News	GATRAnews	"https://t.co/8JJLA2vPtD Program Service Dari Tata Motors, Ada Diskon Oli Dan Hadiah"	ya
Salwa0103	Bundanya.Salwa.Azzam	RT @DOKUid: Akhir buulan tetep bisa gaya pake jam tangan baru kalau belinya di Moment. Ada DISKON 60% buat kamu! https://t.co/BDh4cizmJI htâ€¦	ya
BETAHOLIDAY	Tiket & Hotel	Lebih MURAH 262.000 dari Traveloka #serbapromosi #infosurabaya #tiket #diskon #bandung #garuda #kompastv #lionair https://t.co/tweIoNo735	ya
burupromo	Buru Promo	Dapatkan Diskon 30% Makan di COCA SUKI https://t.co/QIflMMeQbV	ya
hunsoo_fangirl	Nanda Chintiaâ„ï¸	Gaboleh kalap belanja Tapi.... Diskon 2 Ini... (at @uniqlo_jp) â€” https://t.co/A7IbAMA40O	tidak
travelioid	Travelio.com	#SewaVilla luxury ini di #Yogyakarta DISKON 30% dgn kode voucher LIODEALS4NOV16 KLIK >https://t.co/HQHkpSAWSq https://t.co/eezmzH1hrV	ya
GilaPromoDotCom	GilaPromo	#diskon Air Asia Go Promo Best Hotel Sale - Diskon 60% https://t.co/Dh28LGiFva	ya
al_iffa	Nurul Al' iffaâ™ªâ™«	"RT @DINOMARKET: Hasilkan foto indahmu dgn Olympus Camera. Sale Diskon Hingga 2,1 Juta. Klik https://t.co/u5V5JvQ6AY #Dinomarket https://t.câ€¦"	ya
ipyadct	ipy	iseng nyoba grab yg diskon 70% mau jalan ajaa~ abis gabut bgt hari ini njir dikampus eh ternyata murah banget!! ðŸ˜‚ðŸ˜„	tidak
GilaPromoDotCom	GilaPromo	#diskon Erafone Apple iPhone 5S November Deals - Harga Spesial Mulai Rp. 3.999.000 https://t.co/Hqy906Se4T	ya
erheteaI	ETHAN.	@aIethiea Iya terus cari yg diskon kan.	tidak
BiGTiVi	BIGTV Indonesia	"Pastikan BiGMate menikmati kenyamanan menginap di Zia Hotel. Dapatkan diskon hingga 51%, klik :â€¦ https://t.co/61Q2GVe550"	ya
RiantyBatik	Rianty Batik	Dapatkan diskon tambahan bagi member offline dengan daftar dan verifikasi di https://t.co/eBDD4s5z0C https://t.co/wR6hkZb3b0	ya
tinggibdnalami	Peninggi Badan Alami	"24JAM_Iklan PENINGGI BADAN alami, herbal, tanpa efek samping. dapatkan diskon khususnya. 2-5 cm dalam 10 hari WA:081322071239 PIN:2215F955"	ya
JaLdeee	Umroh @Jejakimani	"RT @JejakImani: Sahabat Jejak Imani, Ayo jng sampai ketinggalan dapetin voucher diskon umroh lho cek disini >> https://t.co/VxbYPXP8r2 #vouâ€¦"	ya
sportdeca	Sportdeca.com	"Untuk pelanggan setia sepatu Peak, nikmati diskon sampai dengan 40% off untuk tipe sepatu tertentu. Beli sekarang:â€¦ https://t.co/3jky4ywtMY"	ya
kotadotcom	Kota Dot Com	SUPERINDO Promo Super Diskon Senin sampai Kamis! Dapatkan diskon 20% untuk Aneka Ikan ... - https://t.co/iWo7UNbYkK https://t.co/QT5rBQtRGB	ya
bec_bintaro	BEC BINTARO	"Dapatkan DISKON SETIAP HARI di ""BEST PONGS"" lantai dasar Bintaro Entertainment Center Mall https://t.co/8NKVb3H7IP"	ya
rumahmadani	Rumah Madani	"Diskon 10% NB-NRC04AS Rp. 165.000,- Jadi Rp. 148.500,- Rp. 175.000,- Jadi Rp. 157.500,- (XXL) Tersedia size - S M... https://t.co/3g9QMygy57"	ya
SnowBayID	SNOWBAY TMII	Dapatkan diskon buy 1 get 1 free untuk setiap pembelian tiket snowbay menggunakan debit dan kartu kredit BRI! https://t.co/CB4et7Lb70	ya
pegi_pegi	pegipegi	"Ada diskon hotel Rp 50.000 tanpa min transaksi, khusus untuk followers baru account LINE pegipegi! Yuk add sekarangâ€¦ https://t.co/7VZDTiRJOe"	ya
MNCupdate	MNC Update	"Ada DISKON s.d 30% buat SEMUA hotel di tgl 22, 24 & 26 Nov setiap jam 3-4 sore WIB! CEK https://t.co/hqyt3nYClF yukâ€¦ https://t.co/Fmi0Jt6VHp"	ya
DINOMARKET	DINOMARKET.com	"Hasilkan foto indahmu dgn Olympus Camera. Sale Diskon Hingga 2,1 Juta. Klik https://t.co/u5V5JvQ6AY #Dinomarket https://t.co/xUtnUJvZGw"	ya
cessitaputri	Cessi	"@Uber_IDN Hi Uber, tadi ada notif kalo saya dapet promo mingguan diskon 50%. Tapi pas di-apply kok nggak bisa ya? https://t.co/3MI86UiwPu"	tidak
ghafaraATBON	Ghafara Adriant	Incer lagi adidas running diskon ðŸ˜­ðŸ˜­ðŸ˜­	tidak
kemrondallasrp	kemron	yang kepo yang kepo mas mbak https://t.co/t1ETT38nhw diskon 50%	tidak
GontaGantiHaPe	(Aa)Gogon Snapdragon	"Diskon kamera, sampai akhir November di @bliblidotcom https://t.co/h61EySMFog https://t.co/mR9n691ySF"	ya
Archie__8	Archie	@raincotte ehh kok sama yah.. Diskon tapi porsinya berkurang juga kalo pake kupon2an itu	tidak
SobatDewi88	Dewi	Pakaian Anak Laki-laki Merek Crocodile Lagi Diskon 50 Persen di Matahari Solo Square https://t.co/a1FLkEwKJa https://t.co/h7yzertYdb	ya
mooienterprise	Mooi Net	Jual voucher Gemscool no minimun order - diskon gede. Kapan lagi? ;)	tidak
BarbershopVenus	Venus Barbershop	"jadilah member kami dan dapatkan diskon 10%, daftar ember gratis https://t.co/q7E0RTrACG"	ya
Giladiskon	Giladiskon Indonesia	"Pizza Of Deep Pan Promo @Dominos_ID Diskon 30%,Info-->https://t.co/MB14usifhY"	ya
JasaPerantara	Jasa Perantara	"#Diskon 56% menjadi Rp 3.045.491,64! Beli = https://t.co/wXQnD2yniw #eBay = https://t.co/4U4kV0t8NL #sale https://t.co/pBIzrGnSJs"	ya
arumsukapto	aRum suKapto	TravelioMore: Sewa Rumah paling Mudah https://t.co/1SqoxqBKiQ ada diskon hingga 40% kl Sewa rmh #backpacker #trips #murah #penginapan	ya
Jogja24Jam	J O G J A	"Yuk.., segera daftar Diklat Pajak @WaskitaPartners. Biaya bisa diangsur, Ada Diskon akhir tahun, Ada Kesempatan jadâ€¦ https://t.co/rv9ajwFIAl"	tidak
tiket	Tiket.com	Tunjukan virtual card Sobat Tiket skrng juga! Dapatkan gratisan atau diskon di merchant pilihan. Info viaâ€¦ https://t.co/xzGzeSHvQB	tidak
maddoginfected	Maddog Infectedâ„¢	Dapatkan kupon diskon 20% #MADDOGINFECTED di Kedai Kepo UMS | Jl. Mojo No.4 (Depan Kampus IV UMS) IG: @KedaiKEPO.ums https://t.co/jtMqr7JYAi	ya
wajibbacadotcom	Wajib Baca	"Kabar Gembira Dari Honda, Diskon Diberikan Honda Untuk PNS dan BUMN https://t.co/XcYg7jEFL3 https://t.co/JQfOckpbK8"	ya
EventJakartaCom	Event Jakarta	Calling All tenants! New Year Big Fest Pusat diskon barang2 berkelas! 28Des'16â€“1Jan'17 @ Grand Indonesia 08159399582 https://t.co/kHv1BMwQ8a	ya
katalogpromosi	katalogpromosi	https://t.co/K6TOBCX6CX Promo Trip to SUPERBOL 1212! DISKON hingga 70% https://t.co/mE3rjSJFzV	ya
saasaa_raisa	Raisa Rani Maisa	"@Citilink min, mau tanya diskon 250rbu ini t&c nya apa ya? https://t.co/Mn2rBcEr4C"	tidak
lailaLAC003	Laila sari	"RT @LarissaCenter: NOVEMBER RAIN, HUJAN PROMO LARISSA ONLINESHOP DISKON FREE ONGKIR KE SELURUH INDONESIA Read more > https://t.co/795pxRuPâ€¦"	ya
BeyThommy	Bey Thommy	RT @pasaraya_id: Diskon hingga 70% untuk produk sepatu pria dari Marco Cuomo. Promo berlaku hingga akhir bulan ini. #IndonesiaPunya	ya
wahyu_winoto	wahyu winoto	"Dengarkanlah lagu rinduku ini.dengan begitu, aku akan lebih tenang di sini. #diskon"	tidak
yudii_s	yudi	"Aa punteun, nanti 12.12 bli bli bakal ada diskon gila kaya kemaren gak ya? Mau beli kamera ini,lumayan kalo dapetâ€¦ https://t.co/0vAI3LXOtY"	tidak
r3zhas	M Fadillah Rezha F	RT @Citilink: Terbang #SuperHemat ke Pekanbaru mulai 300 ribuan + diskon 10%. Klik https://t.co/K6tddFXpcO https://t.co/wRd57l24Ys	ya
DISKONBATIK	DISKON BATIK	RT @LarasJ9: Prasmanan selera nusantara 65k senin-jumat jam 11.00-14.00 Resv 081363009198 #batam #enjoy #best #diskon https://t.co/97JOXYkOâ€¦	tidak
DISKONBATIK	DISKON BATIK	RT @JagoPromotion: Paket Liburan dan perjalanan Bisnis yang hemat #booking via *TRAVELOKA* #diskon #enjoy #best #batam klik disini : httpsâ€¦	tidak
ComPhibi	Berita Terkini	[REVIEW] Tenant Puri Indah Mall Diskon HinggaÂ 70% https://t.co/GUX2TVLhMV	ya
Jogja24Jam	J O G J A	Mau diet tp ttp makan enak? Dlm 13hari turun 6-10kg.Ikutan dietnya @mariamcatering0 aja. Ada DISKON WA: 085848434841 https://t.co/kkNCRHM9gA	ya
Ilovewonderbook	Wonderbook	"Diskon 20% bagi pengguna wonderbook software. Yuuu bikin jurnal foto yg ""beda"", buat kenanganâ€¦ https://t.co/NSUAa0qlId"	ya
feryirawan22	Fery irawan	Superfast Wordpress Theme Review | Kupon diskon https://t.co/eaNio2obdm: https://t.co/aohXiSAmRN via @YouTube	tidak
AllSedayu	ALL SEDAYU Klp Gdg	"Polling menu baru The Square Coffee Shop @AllSedayu "" Dapatkan Potongan Diskon 50 % ( FB ) untuk 5 Komentar terbaik.https://t.co/7f4MYdXb1v"	ya
fikakarpova	Wanderlust	RT @Citilink: Terbang #SuperHemat ke Medan mulai 300 ribuan + diskon 10%. Klik https://t.co/K6tddFXpcO https://t.co/JViH2AybJ6	ya
HRRZ	Harris Kristanto Y	@adyaverol masih diskon 50 ya? Tau gitu ke jkt pake gojek aja	tidak
okeshop_mp	OkeShop_Makassar	"Mau Lenovo harga special ? Ke @okeshop_mp saja...ada Diskon Rp 100.000,- plus Free VR ðŸ˜Ž https://t.co/9EOQovT7kQ"	ya
hananurdinbot	Hananurdin Bot	Bagi anda yg menyukai penghematan & Promo2 diskon Mari Follow @diskonevoucher krn banyak info diskon berguna bagi anda . Expand	tidak
kredivo	Kredivo	"Nikmati diskon spesial hingga 90% dari @WellcommShop dan cicilan 0% pada bulan pertama dan mulai dari 1,24% di bulaâ€¦ https://t.co/nMAqnTXviI"	ya
beerritaa	BERITA TERKINI	Honda Beri Diskon Khusus untuk Pegawai BUMN dan PNS https://t.co/zb4HsgbfRp #beritaterkini https://t.co/xsaSUCEe8u	ya
kupontripcom	Kupon Trip	Kode Promo Tiket Pesawat Diskon Rp 300.000 https://t.co/V0jJT6dzNt MalaysiaÂ Airlines https://t.co/vCm5sFoRRF https://t.co/Yku62S0ysa	ya
KakaknyaElmo	$mr D	"RT @panjikj: @KakaknyaElmo sepatu apaan 700k ukuran 46? Biasanya diatas 1 hahahahh kemaren2 hoki ada diskon gede di kelapa gading, pada ambâ€¦"	tidak
detik_topi	TRUSTED SELLER	#topi #fila #import #snapback #baseball #topimurah #murmer #diskon #keren #swag #jual #bboy #selfie #ootd #styleâ€¦ https://t.co/JLzscqNqz6	tidak
HecateUks	Beli vitamin #UKS	RT @svtdinoy: siang. uks lagi ada diskon 20%. ayo beli vitamin dan obat2an skrng ðŸŽˆ cc @HecateUKS	ya
azizah_restii	Azizah Resti Permata	Rasakan keharuman yang memikat dengan Stardust Eau de Toilette! Kini diskon 40%! Hanyaâ€¦ https://t.co/6V00ohTo44	ya
KakaknyaElmo	$mr D	@panjikj nah ituuuu kalo cuci gudang doang... Waktu itu gw ambil polo shoes segitu kok.. Atau ga nunggu sportstaion diskon hhhh	tidak
detik_topi	TRUSTED SELLER	#topi #spongebob #import #snapback #sport #keren #swag #jual #jualbeli #diskon #murah #olshop #fashion #bandung https://t.co/hfaXBQPM1d	tidak
iDRadjasa	Darvito Radjasa	Hanya berlaku untuk pembelian motor jenis Vario dan CB150R. https://t.co/KLoV9soiCm	tidak
kliknklikcom	Kliknklik	"Kalau kamu lagi nyari Smartphone dengan camera resolusi tinggi, nih ada ASUS ZenFone 3 dengan camera 16MP+8MP Beliâ€¦ https://t.co/jZD8MXB3qy"	tidak
iqbal1779	Iqbal #Marshal ðŸ’†	Diskon https://t.co/CDHV3GOaQB	tidak
NandaYumna3	Nanda Yulia Mawardi	RT @Citilink: Terbang #SuperHemat ke Denpasar mulai 170 ribuan + diskon 10%. Klik https://t.co/K6tddFXpcO https://t.co/JQJvoGuzOz	ya
NoahBandJKT	Noah Band Fans	Jangan Lewatkan Diskon 66% Epaper Bisnis Indonesia - https://t.co/7ZD5s3pVr3 https://t.co/QPVVo59vH5	ya
lihindestroyer	lihin.destroyer	NuCoMic (Diskon) https://t.co/4spN2v6Rzc	tidak
CampFutsal	Futsal Camp Ciputat	khusus hari in diskon 20% dr pagi smpai malam loch...yukk di bokingg dari sekarang nnti keburu penuhh lohh ...	ya
panjikj	Panji Kharisma Jaya	"@KakaknyaElmo sepatu apaan 700k ukuran 46? Biasanya diatas 1 hahahahh kemaren2 hoki ada diskon gede di kelapa gading, pada ambil nomer 47"	tidak
Citilink	Citilink Indonesia	Terbang #SuperHemat ke Pekanbaru mulai 300 ribuan + diskon 10%. Klik https://t.co/K6tddFXpcO https://t.co/wRd57l24Ys	ya
efviel	efviel	Belanja online #murah #diskon aman dan terpercaya check it now https://t.co/a7WQxzx5XQ ##diskon #ollshop #shoping	tidak
LPKII_BANDUNG	LPKII	Diskon 30% biaya pendidikan menanti anda!! Ayo tunggu apalagi!!!	ya
tamanpuring_	Tamanpuring Store	#Promo Add Line @tamanpuring_ Dan dapatkan Diskon Rp50.000 Hanya HARIâ€¦ https://t.co/PYOdm3uyur	ya
NabillaKahin	Nabilla Kahindharta	"@ancoltmnimpian min untuk diskon pelajar/mahasiswa itu kan rombongan minimal15, apakah semuanya harus dari satu sekolah/univ?"	tidak
RiauPotenza	Riau Potenza	Matahari Plaza Citra Beri Diskon Besar-besaran https://t.co/tHvWouzLPx	ya
JelajahPulauID	Island Hopper	"Terbatas u/ 12 peserta saja lho! Jgn lupa, 4 peserta pendaftar pertama hari ini, 21 Nov 2016 akan ada DISKON 25% . Yuk langsung daftar!"	ya
